barcode,name,unit
47464011876,ปากกาลูกลื่น153*แทรเวล0.5*นง.แพ็คกิ้งพิงค์*12ด.,กล่อง
47465014646,ปากกาเจลหัวเข็มสีดำ เพนเทลBL80 1.0mm.*12pcs,กล่อง
4746718938,แฟ้มกระเป๋าซองตาไก่ Elephant 435F สีชมพู (12ชิ้น/แพ็ค),แพ็ค
4742972,42972 ปากกามาร์คเกอร์2หัว275-19 เทา *12ด,กล่อง
8851552201672,ปากกาเคมี2หัวตราม้า/สีม่วง *12ด,กล่อง
4746617601,ไหมพรมG-5001-11/15กรัม สีเขียวแก่*12,แพ็ค
4746617879,เทปผ้า Armstrong 48mmx8 สีส้ม*6,แพ็ค
4746922749,กระดาษ IK COPY A4 70แกรม (5รีม/ลัง),ลัง
47465014025,ยางลบ เฟเบอร์-คาศเทลล์ SEAWORLD *18ก้อน,แพ็ค
4746820567,ไหมพรมG-5003-9/40กรัม สีชมพูนีออน (12ชิ้น/แพ็ค),แพ็ค
28851907134079,กบเหลาดินสอ Master Art No.5 (112ชิ้น/กระปุก),กระปุก
FAH64000084,บิลส่งของชั่วคราว Flamingo No.3 (10เล่ม/แพ็ค),แพ็ค
6941025118049,ปากกาดำ0.7 SuperOiball A9 *40ด,กระปุก
4746922361,ปากกา Quantum ลูกลื่น Sleepy Baby 0.6มม. หมึกน้ำเงิน (50ด้าม/กระบอก),กระบอก
FAH64002621,กรรไกร Elephant 5นิ้ว กระบอกใส SC0550 (24ชิ้น/กระบอก),กระบอก
FAH64003046,สายคล้องคอสีเทาSTR08 *100ส,แพ็ค
