code,barcode2,name,unit
18851907266056,,ดินสอดำ2B เอลเฟ่น 2018 (12กล่อง/แพ็ค),กุรุส
8851023006690,,ปากกาเพ้นท์เข็ม0.7 SAKURA ทอง*12,แพ็ค
FAH64004060,8822170028286,เข็มถักโคเช1หัว #3 *12ช,กล่อง
4740324,,สมุดปกอ่อนสันลวดA5มีเส้น1677 *20,แพ็ค
4746820970,,เจลหอมปรับอากาศ ambi pur กลิ่นลาเวนเดอร์ 180กรัม (3ชิ้น/แพ็ค),แพ็ค
4741373,,41373 สพฐ80แผ่น/55g/เส้นคู่*15โหล,ลัง
9555684638106,,ปากกาลูกลื่น1423/สีแดง0.7เฟเบอร์ *30ด,กระปุก
18851907150676,,ปากกาควอนตั้ม0.5เดิร์ฟ 125 น้ำเงิน *12ด,แพ็ค
4743068,,เหรียญรางวัล+ริบบิ้นธงชาติ (10ชิ้น/แพ็ค),แพ็ค
28851907194899,,เรนาซองซ์ปากกาไมโครสเกล 0.1 *12ด,กล่อง
FAH64005414,4743889,บิลเงินสด SSB No.1 ประเภท2ชั้น คาร์บอนในตัว (10เล่ม/แพ็ค),แพ็ค
28851907273686,,เทปลบคำผิด6M มาเมะโกะมะ *12ช,กล่อง
FAH64007883,8887549082962,ถ่านพานาโซนิคAA R6NT/4SL (15แพ็ค/กล่อง),กล่อง
4743147,,สมุดโน๊ตไม่มีเส้น NJP1530 *12ล,แพ็ค
4746617133,884851006660,ปากกาหมึกเจล BLN105-AX*12,กล่อง
8802203041567,,ปากกาลูกลื่นเจล Dong-A RED 0.5 *12,กล่อง
8809331232140,,ปากกาลูกลื่น บอสซั่ม 0.38 FASTER CX914 น้ำเงิน ด้ามใส (12ด้าม/กล่อง),กล่อง
47465016221,,ดินน้ำมัน หมีแพนด้า 90g. คละสี (12ก้อน/แพ็ค),แพ็ค
4740207,,พู่กันกลมไทยแหลมทอง #2 *12ด,แพ็ค
47465015926,8904054780579,ปากกาเจล 0.5 แดง O-Second-re*12pcs,กล่อง
47466016636,8851907265328,แฟ้มซองกระดุม Elephant 425F เขียว (12ชิ้น/แพ็ค),แพ็ค
4740282,,ดินสอสีไม้ COLLEN No.787 24แท่ง 48สี (6กล่อง),แพ็ค
